stop_id,coordinate_location,stop_order,line_id,line_name,stop_name,type,year,frequency,east_west
1946151,"52.470965141866394, 13.385641462324475",0,19461,1,Flughafen,bus,1946,25,both/unkown
1946158,"52.49508128500466, 13.389323838894562",1,19461,1,Franz-Mehring-Strasse,bus,1946,25,both/unkown
1946212,"52.49794750808006, 13.391726405887525",2,19461,1,Hallesches Tor,bus,1946,25,both/unkown
1946325,"52.50113590948542, 13.394408948438224",3,19461,1,Lindenstrasse,bus,1946,25,both/unkown
1946257,"52.50710477957293, 13.398277044768834",4,19461,1,Jerusalemer Strasse,bus,1946,25,both/unkown
1946138,"52.51104121136219, 13.39862526380472",5,19461,1,DÃ¶nhoffplatz,bus,1946,25,both/unkown
1946596,"52.515291776252226, 13.397165241076786",6,19461,1,Werderscher markt,bus,1946,25,both/unkown
1946476,"52.516189104673394, 13.401870070751757",7,19461,1,SchloÃŸplatz,bus,1946,25,both/unkown
19462,"52.52005246558073, 13.413957243449447",8,19461,1,Alexanderplatz,bus,1946,25,both/unkown
19466,"52.51778540833277, 13.418077932963259",9,19461,1,Alexanderstrasse,bus,1946,25,both/unkown
1946240,"52.51470310432635, 13.420502137148215",10,19461,1,Holzmarkstrasse,bus,1946,25,both/unkown
1946472,"52.50976021619768, 13.436358877912049",11,19461,1,Schlesischer Bahnhof,bus,1946,25,both/unkown
194613,"52.511300751384205, 13.434689302904747",12,19461,1,Am Schlesischen Bahnhof,bus,1946,25,both/unkown
1946172,"52.5121233087592, 13.438416859495533",13,19461,1,Fruchtstrasse,bus,1946,25,both/unkown
1946301,"52.5137005363457, 13.43784219276966",14,19461,1,KÃ¼rstriner Platz,bus,1946,25,both/unkown
1946153,"52.51348352208039, 13.476830323062508",15,19461,1,Frankfurter Allee,bus,1946,25,both/unkown
1946157,"52.5158293510385, 13.453999993701924",16,19461,1,Frankfurter Allee Ecke Warschauer Strasse,bus,1946,25,both/unkown
1946156,"52.51348326435681, 13.476984666930822",17,19461,1,Frankfurter Allee Ecke GÃ¼rtelstrasse,bus,1946,25,both/unkown
19468,"52.51072943298707, 13.504877027235766",18,19461,1,Alt-Friedrichsfelde,bus,1946,25,both/unkown
1946206,"52.522700593509725, 13.401605863643521",0,19462,1,Hackescher Markt,strassenbahn,1946,10,both/unkown
1946459,"52.526863056079485, 13.403424759115316",1,19462,1,Rosenthaler Strasse,strassenbahn,1946,10,both/unkown
1946457,"52.5301769,13.4016121",2,19462,1,Rosenthaler Platz,strassenbahn,1946,10,both/unkown
1946252,"52.5324542,13.3974236",3,19462,1,Invalidenstrasse,strassenbahn,1946,10,both/unkown
1946531,"52.531658,13.3887147",4,19462,1,Stettiner Bhf.,strassenbahn,1946,10,both/unkown
1946125,"52.52716975261716, 13.387046161831702",5,19462,1,Chausseestrasse,strassenbahn,1946,10,both/unkown
1946170,"52.51986268004412, 13.388183618668693",6,19462,1,Friedrichstrasse,strassenbahn,1946,10,both/unkown
1946589,"52.52180915595045, 13.38803351210133",7,19462,1,WeidendammbrÃ¼cke,strassenbahn,1946,10,both/unkown
1946426,"52.52067652539613, 13.389902051315714",8,19462,1,Prinz-Louis-Ferdinand-Strasse,strassenbahn,1946,10,both/unkown
1946136,"52.518718761338874, 13.388522669782862",9,19462,1,Dorotheenstrasse,strassenbahn,1946,10,both/unkown
1946232,"52.516248900919734, 13.376820910193624",10,19462,1,Hindenburgplatz,strassenbahn,1946,10,both/unkown
1946414,"52.50948236131137, 13.375988156399634",11,19462,1,Potsdamer Platz,strassenbahn,1946,10,both/unkown
194618,"52.50453275122, 13.382326534592197",12,19462,1,Anhalter Bahnhof,strassenbahn,1946,10,both/unkown
1946628,"52.433207520111885, 13.259531923613192",0,19463,17,"Zehlendorf, Rathaus",bus,1946,30,both/unkown
1946412,"52.431000977609386, 13.229955507955582",1,19463,17,Potsdamer Chaussee,bus,1946,30,both/unkown
194676,"52.43378197004219, 13.193152057415048",2,19463,17,Bhf. Nikolassee,bus,1946,30,both/unkown
194683,"52.42151302311533, 13.17810256503659",3,19463,17,Bhf. Wannsee,bus,1946,30,both/unkown
1946539,"52.409430239790396, 13.14381794619846",4,19463,17,StÃ¶lpchensee,bus,1946,30,both/unkown
1946600,"52.52581092392458, 13.318056678375148",0,19464,21,Wiebestrasse,strassenbahn,1946,6,both/unkown
1946556,"52.52721009570157, 13.33057857169393",1,19464,21,ThÃ¤lmannstrasse Ecke Waldstrasse,strassenbahn,1946,6,both/unkown
1946436,"52.52356,13.35779",2,19464,21,Rathenower Strasse,strassenbahn,1946,6,both/unkown
194611,"52.522953428732706, 13.363110996619637",3,19464,21,Alt-Moabit,strassenbahn,1946,6,both/unkown
